sample_fp	plate	well	tile	round
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-000__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	0	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-000__Channel_AF750,Cy3,DAPI.nd2	1	A3	0	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-000__Channel_Cy5,Cy3,DAPI.nd2	1	A3	0	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-001__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	1	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-001__Channel_AF750,Cy3,DAPI.nd2	1	A3	1	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-001__Channel_Cy5,Cy3,DAPI.nd2	1	A3	1	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-002__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-002__Channel_AF750,Cy3,DAPI.nd2	1	A3	2	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-002__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-003__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	3	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-003__Channel_AF750,Cy3,DAPI.nd2	1	A3	3	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-003__Channel_Cy5,Cy3,DAPI.nd2	1	A3	3	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-004__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	4	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-004__Channel_AF750,Cy3,DAPI.nd2	1	A3	4	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-004__Channel_Cy5,Cy3,DAPI.nd2	1	A3	4	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-005__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	5	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-005__Channel_AF750,Cy3,DAPI.nd2	1	A3	5	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-005__Channel_Cy5,Cy3,DAPI.nd2	1	A3	5	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-006__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	6	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-006__Channel_AF750,Cy3,DAPI.nd2	1	A3	6	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-006__Channel_Cy5,Cy3,DAPI.nd2	1	A3	6	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-007__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	7	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-007__Channel_AF750,Cy3,DAPI.nd2	1	A3	7	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-007__Channel_Cy5,Cy3,DAPI.nd2	1	A3	7	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-008__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	8	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-008__Channel_AF750,Cy3,DAPI.nd2	1	A3	8	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-008__Channel_Cy5,Cy3,DAPI.nd2	1	A3	8	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-009__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	9	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-009__Channel_AF750,Cy3,DAPI.nd2	1	A3	9	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-009__Channel_Cy5,Cy3,DAPI.nd2	1	A3	9	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-010__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	10	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-010__Channel_AF750,Cy3,DAPI.nd2	1	A3	10	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-010__Channel_Cy5,Cy3,DAPI.nd2	1	A3	10	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-011__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	11	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-011__Channel_AF750,Cy3,DAPI.nd2	1	A3	11	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-011__Channel_Cy5,Cy3,DAPI.nd2	1	A3	11	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-012__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	12	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-012__Channel_AF750,Cy3,DAPI.nd2	1	A3	12	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-012__Channel_Cy5,Cy3,DAPI.nd2	1	A3	12	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-013__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	13	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-013__Channel_AF750,Cy3,DAPI.nd2	1	A3	13	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-013__Channel_Cy5,Cy3,DAPI.nd2	1	A3	13	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-014__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	14	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-014__Channel_AF750,Cy3,DAPI.nd2	1	A3	14	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-014__Channel_Cy5,Cy3,DAPI.nd2	1	A3	14	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-015__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	15	1
