plate	cycle	well	tile
1	1	A3	0
1	2	A3	0
1	3	A3	0
1	4	A3	0
1	5	A3	0
1	6	A3	0
1	1	A3	1
1	2	A3	1
1	3	A3	1
1	4	A3	1
1	5	A3	1
1	6	A3	1
1	1	A3	2
1	2	A3	2
1	3	A3	2
1	4	A3	2
1	5	A3	2
1	6	A3	2
1	1	A3	3
1	2	A3	3
1	3	A3	3
1	4	A3	3
1	5	A3	3
1	6	A3	3
1	1	A3	4
1	2	A3	4
1	3	A3	4
1	4	A3	4
1	5	A3	4
1	6	A3	4
1	1	A3	5
1	2	A3	5
1	3	A3	5
1	4	A3	5
1	5	A3	5
1	6	A3	5
1	1	A3	6
1	2	A3	6
1	3	A3	6
1	4	A3	6
1	5	A3	6
1	6	A3	6
1	1	A3	7
1	2	A3	7
1	3	A3	7
1	4	A3	7
1	5	A3	7
1	6	A3	7
1	1	A3	8
1	2	A3	8
1	3	A3	8
1	4	A3	8
1	5	A3	8
1	6	A3	8
1	1	A3	9
1	2	A3	9
1	3	A3	9
1	4	A3	9
1	5	A3	9
1	6	A3	9
1	1	A3	10
1	2	A3	10
1	3	A3	10
1	4	A3	10
1	5	A3	10
1	6	A3	10
1	1	A3	11
1	2	A3	11
1	3	A3	11
1	4	A3	11
1	5	A3	11
1	6	A3	11
1	1	A3	12
1	2	A3	12
1	3	A3	12
1	4	A3	12
1	5	A3	12
1	6	A3	12
1	1	A3	13
1	2	A3	13
1	3	A3	13
1	4	A3	13
1	5	A3	13
1	6	A3	13
1	1	A3	14
1	2	A3	14
1	3	A3	14
1	4	A3	14
1	5	A3	14
1	6	A3	14
1	1	A3	15
1	2	A3	15
1	3	A3	15
1	4	A3	15
1	5	A3	15
1	6	A3	15
1	1	A3	16
1	2	A3	16
1	3	A3	16
1	4	A3	16
1	5	A3	16
1	6	A3	16
1	1	A3	17
1	2	A3	17
1	3	A3	17
1	4	A3	17
1	5	A3	17
1	6	A3	17
1	1	A3	18
1	2	A3	18
1	3	A3	18
1	4	A3	18
1	5	A3	18
1	6	A3	18
1	1	A3	19
1	2	A3	19
1	3	A3	19
1	4	A3	19
1	5	A3	19
1	6	A3	19
1	1	A3	20
1	2	A3	20
1	3	A3	20
1	4	A3	20
1	5	A3	20
1	6	A3	20
1	1	A3	21
1	2	A3	21
1	3	A3	21
1	4	A3	21
1	5	A3	21
1	6	A3	21
1	1	A3	22
1	2	A3	22
1	3	A3	22
1	4	A3	22
1	5	A3	22
1	6	A3	22
1	1	A3	23
1	2	A3	23
1	3	A3	23
1	4	A3	23
1	5	A3	23
1	6	A3	23
1	1	A3	24
1	2	A3	24
1	3	A3	24
1	4	A3	24
1	5	A3	24
1	6	A3	24
1	1	A3	25
1	2	A3	25
1	3	A3	25
1	4	A3	25
1	5	A3	25
1	6	A3	25
1	1	A3	26
1	2	A3	26
1	3	A3	26
1	4	A3	26
